Text,Attacker,CVE,ExploitTarget,Hardware,Means/Consequence,Product,Software,Vulnerability,Weakness,VersionNumber,hasAffectedSoftware,hasAttacker,#hasMeans,hasWeakness,#isUnderAttack,hasSoftware,has CVE_ID,hasVulnerability
"CVE-2014-1363 WebKit, as used in Apple iOS before 7.1.2, Apple Safari before 6.1.5 and 7.x before 7.0.5, and Apple TV before 6.1.2, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted web site, a different vulnerability than other WebKit CVEs listed in APPLE-SA-2014-06-30-1, APPLE-SA-2014-06-30-3, and APPLE-SA-2014-06-30-4.",remote attackers,CVE-2014-1363,,,execute arbitrary code or cause a denial of service (memory corruption and application crash),Apple iOS;Apple Safari;Apple TV,WebKit,,,before 7.1.2;before 6.1.5 and 7.x before 7.0.5;before 6.1.2,,,a crafted web site,,,,CVE-2014-1363,
"CVE-2014-1365 WebKit, as used in Apple iOS before 7.1.2, Apple Safari before 6.1.5 and 7.x before 7.0.5, and Apple TV before 6.1.2, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted web site, a different vulnerability than other WebKit CVEs listed in APPLE-SA-2014-06-30-1, APPLE-SA-2014-06-30-3, and APPLE-SA-2014-06-30-4.",,,,,,,,,,,,,,,,,,
"CVE-2014-1367 WebKit, as used in Apple iOS before 7.1.2, Apple Safari before 6.1.5 and 7.x before 7.0.5, and Apple TV before 6.1.2, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted web site, a different vulnerability than other WebKit CVEs listed in APPLE-SA-2014-06-30-1, APPLE-SA-2014-06-30-3, and APPLE-SA-2014-06-30-4.",,,,,,,,,,,,,,,,,,
CVE-2014-1369 WebKit in Apple Safari before 6.1.5 and 7.x before 7.0.5 allows user-assisted remote attackers to access file: URLs by leveraging a URL drag operation that originates at a crafted web site.,user-assisted remote attackers,CVE-2014-1369,,,access file: URLs by leveraging a URL drag operation that originates at a crafted web site.,Apple Safari,WebKit,,,before 6.1.5 and 7.x before 7.0.5,,,,,,,CVE-2014-1369,
CVE-2014-1371 Array index error in Dock in Apple OS X before 10.9.4 allows attackers to execute arbitrary code or cause a denial of service (incorrect function-pointer dereference and application crash) by leveraging access to a sandboxed application for sending a message.,,CVE-2014-1371,,,execute arbitrary code or cause a denial of service (incorrect function-pointer dereference and application crash),Apple OS X,Dock,Array index error,,before 10.9.4,,,leveraging access to a sandboxed application for sending a message.,,,,CVE-2014-1371,Array index error
"CVE-2014-1373 Intel Graphics Driver in Apple OS X before 10.9.4 does not properly restrict an unspecified OpenGL API call, which allows attackers to execute arbitrary code via a crafted application.",,CVE-2014-1373,,,execute arbitrary code,Apple OS X ,Driver,,does not properly restrict an unspecified OpenGL API call,before 10.9.4,,,crafted application,,,,CVE-2014-1373,
CVE-2014-1375 Intel Graphics Driver in Apple OS X before 10.9.4 allows local users to bypass the ASLR protection mechanism by leveraging read access to a kernel pointer in an IOKit object.,,CVE-2014-1375,,,bypass the ASLR protection mechanism by leveraging read access to a kernel pointer in an IOKit object.,Apple OS X,Intel Graphics Driver,,,,,,,,,,CVE-2014-1375,
CVE-2014-1377 Array index error in IOAcceleratorFamily in Apple OS X before 10.9.4 allows attackers to execute arbitrary code via a crafted application.,,CVE-2014-1377,,,execute arbitrary code via a crafted application.,Apple OS X,IOAcceleratorFamily,Array index error,,before 10.9.4,,,,,,,CVE-2014-1377,Array index error
CVE-2014-1379 Graphics Drivers in Apple OS X before 10.9.4 allows attackers to gain privileges or cause a denial of service (NULL pointer dereference and system crash) via a 32-bit executable file for a crafted application.,,CVE-2014-1379,,,gain privileges or cause a denial of service (NULL pointer dereference and system crash) via a 32-bit executable file for a crafted application.,Apple OS X,Graphics Drivers,,,,,,,,,,CVE-2014-1379,
"CVE-2014-1381 Thunderbolt in Apple OS X before 10.9.4 does not properly restrict IOThunderBoltController API calls, which allows attackers to execute arbitrary code or cause a denial of service (out-of-bounds memory access and application crash) via a crafted call.",,CVE-2014-1381,,,execute arbitrary code or cause a denial of service (out-of-bounds memory access and application crash) via a crafted call,Apple OS X,Thunderbolt,,,before 10.9.4,,,,,,,CVE-2014-1381,
CVE-2014-1383 Apple TV before 6.1.2 allows remote authenticated users to bypass an intended password requirement for iTunes Store purchase transactions via unspecified vectors.,remote authenticated users,CVE-2014-1383,intended password requirement ,,bypass an intended password requirement for iTunes Store purchase transactions,Apple TV,,,,before 6.1.2,,,unspecified vectors,,,,CVE-2014-1383,
"CVE-2014-1385 WebKit, as used in Apple Safari before 6.1.6 and 7.x before 7.0.6, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted web site, a different vulnerability than other WebKit CVEs listed in HT6367.",,,,,,,,,,,,,,,,,,
"CVE-2014-1387 WebKit, as used in Apple Safari before 6.1.6 and 7.x before 7.0.6, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted web site, a different vulnerability than other WebKit CVEs listed in HT6367.",,,,,,,,,,,,,,,,,,
"CVE-2014-1389 WebKit, as used in Apple Safari before 6.1.6 and 7.x before 7.0.6, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted web site, a different vulnerability than other WebKit CVEs listed in HT6367.",,,,,,,,,,,,,,,,,,
CVE-2014-1391 QT Media Foundation in Apple OS X before 10.9.5 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted movie file with RLE encoding.,remote attackers,CVE-2014-1391,,,execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted movie file with RLE encoding,Apple OS X,QT Media Foundation,,,before 10.9.5,,,crafted movie file with RLE encoding,,,,CVE-2014-1391,
"CVE-2014-1393 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1395 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1397 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1399 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1401 Multiple SQL injection vulnerabilities in AuraCMS 2.3 and earlier allow remote authenticated users to execute arbitrary SQL commands via the (1) search parameter to mod/content/content.php or (2) CLIENT_IP, (3) X_FORWARDED_FOR, (4) X_FORWARDED, (5) FORWARDED_FOR, or (6) FORWARDED HTTP header to index.php.",remote authenticated users,CVE-2014-1401,,,"execute arbitrary SQL commands via the (1) search parameter to mod/content/content.php or (2) CLIENT_IP, (3) X_FORWARDED_FOR, (4) X_FORWARDED, (5) FORWARDED_FOR, or (6) FORWARDED HTTP header to index.php.",,AuraCMS 2.3,Multiple SQL injection vulnerabilities,,2.3 and earlier,,,,,,,CVE-2014-1401,Multiple SQL injection vulnerabilities
CVE-2014-1403 Cross-site scripting (XSS) vulnerability in name.html in easyXDM before 2.4.19 allows remote attackers to inject arbitrary web script or HTML via the location.hash value.,remote attackers,CVE-2014-1403,name.html,,inject arbitrary web script or HTML via the location.hash value.,,easyXDM,Cross-site scripting (XSS) vulnerability,,before 2.4.19,,,location.hash value,,,,CVE-2014-1403,Cross-site scripting (XSS) vulnerability
CVE-2014-1405 Multiple open redirect vulnerabilities on the Conceptronic C54APM access point with runtime code 1.26 allow remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via (1) the submit-url parameter in a Refresh action to goform/formWlSiteSurvey or (2) the wlan-url parameter to goform/formWlanSetup.,remote attackers,CVE-2014-1405,redirect users to arbitrary web sites and conduct phishing attacks via (1) the submit-url parameter in a Refresh action to goform/formWlSiteSurvey or (2) the wlan-url parameter to goform/formWlanSetup.,,,,Conceptronic C54APM access point with runtime code 1.26,Multiple open redirect vulnerabilities,,,,,,,,,CVE-2014-1405,Multiple open redirect vulnerabilities
CVE-2014-1407 Multiple cross-site scripting (XSS) vulnerabilities on the Conceptronic C54APM access point with runtime code 1.26 allow remote attackers to inject arbitrary web script or HTML via (1) the submit-url parameter in a Refresh action to goform/formWlSiteSurvey or (2) the wlan-url parameter to goform/formWlanSetup.,remote attackers,CVE-2014-1407,redirect users to arbitrary web sites and conduct phishing attacks via (1) the submit-url parameter in a Refresh action to goform/formWlSiteSurvey or (2) the wlan-url parameter to goform/formWlanSetup.,,,,Conceptronic C54APM access point with runtime code 1.26,Multiple cross-site scripting (XSS) vulnerabilities,,,,,,,,,CVE-2014-1407,Multiple cross-site scripting (XSS) vulnerabilities
"CVE-2014-1409 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1411 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1413 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1415 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1417 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
CVE-2014-1419 Race condition in the power policy functions in policy-funcs in acpi-support before 0.142 allows local users to gain privileges via unspecified vectors.,local users,CVE-2014-1419,power policy functions in policy-funcs,,gain privileges via unspecified vectors,,acpi-support,Race condition,,before 0.142,,,,,,,CVE-2014-1419,Race condition
"CVE-2014-1421 mountall 1.54, as used in Ubuntu 14.10, does not properly handle the umask when using the mount utility, which allows local users to bypass intended access restrictions via unspecified vectors.",local users,CVE-2014-1421,,,bypass intended access restrictions via unspecified vectors.,Ubuntu 14.10,mountall,,does not properly handle the umask when using the mount utility,1.54,,,,,,,CVE-2014-1421,
"CVE-2014-1423 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1425 cmanager 0.32 does not properly enforce nesting when modifying cgroup properties, which allows local users to set cgroup values for all cgroups via unspecified vectors.",local users,CVE-2014-1425,,,set cgroup values for all cgroups via unspecified vectors,cmanager,,,does not properly enforce nesting when modifying cgroup properties,0.32,,,,,,,CVE-2014-1425,
"CVE-2014-1427 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1429 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1431 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1433 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1435 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1437 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1439 The libxml_disable_entity_loader function in runtime/ext/ext_simplexml.cpp in HipHop Virtual Machine for PHP (HHVM) before 2.4.0 and 2.3.x before 2.3.3 does not properly disable a certain libxml handler, which allows remote attackers to conduct XML External Entity (XXE) attacks.",remote attackers,CVE-2014-1439,runtime/ext/ext_simplexml.cpp,,conduct XML External Entity (XXE) attacks,ipHop Virtual Machine for PHP (HHVM),The libxml_disable_entity_loader function,,does not properly disable a certain libxml handler,before 2.4.0 and 2.3.x before 2.3.3,,,,,,,CVE-2014-1439,
"CVE-2014-1441 Core FTP Server 1.2 before build 515 allows remote attackers to cause a denial of service (reachable assertion and crash) via an AUTH SSL command with malformed data, as demonstrated by pressing the enter key twice.",remote attackers,CVE-2014-1441,,,"ause a denial of service (reachable assertion and crash) via an AUTH SSL command with malformed data, as demonstrated by pressing the enter key twice.",Core FTP Server 1.2,,,,before build 515,,,,,,,CVE-2014-1441,
"CVE-2014-1443 Core FTP Server 1.2 before build 515 allows remote authenticated users to obtain sensitive information (password for the previous user) via a USER command with a specific length, possibly related to an out-of-bounds read.",remote authenticated users,CVE-2014-1443,,,"obtain sensitive information (password for the previous user) via a USER command with a specific length, possibly related to an out-of-bounds read.",Core FTP Server,,,,1.2 before build 515,,,,,,,CVE-2014-1443,
"CVE-2014-1445 The wanxl_ioctl function in drivers/net/wan/wanxl.c in the Linux kernel before 3.11.7 does not properly initialize a certain data structure, which allows local users to obtain sensitive information from kernel memory via an ioctl call.",local users,CVE-2014-1445,,,obtain sensitive information from kernel memory via an ioctl call.,Linux kernel,drivers/net/wan/wanxl.c,wanxl_ioctl function,does not properly initialize a certain data structure,before 3.11.7,,,,,,,CVE-2014-1445,wanxl_ioctl function
CVE-2014-1447 Race condition in the virNetServerClientStartKeepAlive function in libvirt before 1.2.1 allows remote attackers to cause a denial of service (libvirtd crash) by closing a connection before a keepalive response is sent.,remote attackers,CVE-2014-1447,virNetServerClientStartKeepAlive function,,denial of service (libvirtd crash) by closing a connection before a keepalive response is sent,,libvirt,Race condition,,before 1.2.1,,,,,,,CVE-2014-1447,Race condition
CVE-2014-1449 The Maxthon Cloud Browser application before 4.1.6.2000 for Android allows remote attackers to spoof the address bar via crafted JavaScript code that uses the history API.,remote attackers,CVE-2014-1449,,,spoof the address bar via crafted JavaScript code that uses the history API.,Android,The Maxthon Cloud Browser application,,,before 4.1.6.2000,,,,,,,CVE-2014-1449,
"CVE-2014-1451 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1453 The NFS server (nfsserver) in FreeBSD 8.3 through 10.0 does not acquire locks in the proper order when converting a directory file handle to a vnode, which allows remote authenticated users to cause a denial of service (deadlock) via vectors involving a thread that uses the correct locking order.",remote authenticated users,CVE-2014-1453,,,cause a denial of service (deadlock) via vectors involving a thread that uses the correct locking order.,FreeBSD,The NFS server (nfsserver),,does not acquire locks in the proper order when converting a directory file handle to a vnode,8.3 through 10.0,,,,,,,CVE-2014-1453,
"CVE-2014-1455 SQL injection vulnerability in the password reset functionality in Pearson eSIS Enterprise Student Information System, possibly 3.3.0.13 and earlier, allows remote attackers to execute arbitrary SQL commands via the new password.",remote attackers,CVE-2014-1455,password reset functionality,,execute arbitrary SQL commands via the new password.,Pearson eSIS Enterprise Student Information System,,SQL injection vulnerability,,3.3.0.13 and earlier,,,,,,,CVE-2014-1455,SQL Injection vulnerability
"CVE-2014-1457 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
CVE-2014-1459 SQL injection vulnerability in dg-admin/index.php in doorGets CMS 5.2 and earlier allows remote authenticated administrators to execute arbitrary SQL commands via the _position_down_id parameter.  NOTE: this can be leveraged using CSRF to allow remote attackers to execute arbitrary SQL commands.,remote authenticated users,CVE-2014-1459,dg-admin/index.php,,execute arbitrary SQL commands via the _position_down_id parameter.,doorGets CMS,,SQL injection vulnerability ,,5.2 and earlier,,,,,,,CVE-2014-1459,SQL injection vulnerability
"CVE-2014-1461 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1463 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1465 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1467 BlackBerry Enterprise Service 10 before 10.2.1, Universal Device Service 6, Enterprise Server Express for Domino through 5.0.4, Enterprise Server Express for Exchange through 5.0.4, Enterprise Server for Domino through 5.0.4 MR6, Enterprise Server for Exchange through 5.0.4 MR6, and Enterprise Server for GroupWise through 5.0.4 MR6 log cleartext credentials during exception handling, which might allow context-dependent attackers to obtain sensitive information by reading a log file.",context-dependent attackers,,,,,,,,,,,,,,,,,
"CVE-2014-1469 BlackBerry Enterprise Server 5.x before 5.0.4 MR7 and Enterprise Service 10.x before 10.2.2 log cleartext credentials during exception handling, which allows local users to obtain sensitive information by reading the exception log file.",,,,,,,,,,,,,,,,,,
"CVE-2014-1471 SQL injection vulnerability in the StateGetStatesByType function in Kernel/System/State.pm in Open Ticket Request System (OTRS) 3.1.x before 3.1.19, 3.2.x before 3.2.14, and 3.3.x before 3.3.4 allows remote attackers to execute arbitrary SQL commands via vectors related to a ticket search URL.",,,,,,,,,,,,,,,,,,
"CVE-2014-1473 Multiple cross-site request forgery (CSRF) vulnerabilities in the Enterprise Manager in McAfee Vulnerability Manager (MVM) 7.5.5 and earlier allow remote attackers to hijack the authentication of users for requests that modify HTML via unspecified vectors related to the ""response web page.""",,,,,,,,,,,,,,,,,,
CVE-2014-1475 The OpenID module in Drupal 6.x before 6.30 and 7.x before 7.26 allows remote OpenID users to authenticate as other users via unspecified vectors.,,,,,,,,,,,,,,,,,,
"CVE-2014-1477 Multiple unspecified vulnerabilities in the browser engine in Mozilla Firefox before 27.0, Firefox ESR 24.x before 24.3, Thunderbird before 24.3, and SeaMonkey before 2.24 allow remote attackers to cause a denial of service (memory corruption and application crash) or possibly execute arbitrary code via unknown vectors.",,,,,,,,,,,,,,,,,,
"CVE-2014-1479 The System Only Wrapper (SOW) implementation in Mozilla Firefox before 27.0, Firefox ESR 24.x before 24.3, Thunderbird before 24.3, and SeaMonkey before 2.24 does not prevent certain cloning operations, which allows remote attackers to bypass intended restrictions on XUL content via vectors involving XBL content scopes.",,,,,,,,,,,,,,,,,,
"CVE-2014-1481 Mozilla Firefox before 27.0, Firefox ESR 24.x before 24.3, Thunderbird before 24.3, and SeaMonkey before 2.24 allow remote attackers to bypass intended restrictions on window objects by leveraging inconsistency in native getter methods across different JavaScript engines.",,,,,,,,,,,,,,,,,,
CVE-2014-1483 Mozilla Firefox before 27.0 and SeaMonkey before 2.24 allow remote attackers to bypass the Same Origin Policy and obtain sensitive information by using an IFRAME element in conjunction with certain timing measurements involving the document.caretPositionFromPoint and document.elementFromPoint functions.,,,,,,,,,,,,,,,,,,
"CVE-2014-1485 The Content Security Policy (CSP) implementation in Mozilla Firefox before 27.0 and SeaMonkey before 2.24 operates on XSLT stylesheets according to style-src directives instead of script-src directives, which might allow remote attackers to execute arbitrary XSLT code by leveraging insufficient style-src restrictions.",,,,,,,,,,,,,,,,,,
"CVE-2014-1487 The Web workers implementation in Mozilla Firefox before 27.0, Firefox ESR 24.x before 24.3, Thunderbird before 24.3, and SeaMonkey before 2.24 allows remote attackers to bypass the Same Origin Policy and obtain sensitive authentication information via vectors involving error messages.",,,,,,,,,,,,,,,,,,
"CVE-2014-1489 Mozilla Firefox before 27.0 does not properly restrict access to about:home buttons by script on other pages, which allows user-assisted remote attackers to cause a denial of service (session restore) via a crafted web site.",,,,,,,,,,,,,,,,,,
"CVE-2014-1491 Mozilla Network Security Services (NSS) before 3.15.4, as used in Mozilla Firefox before 27.0, Firefox ESR 24.x before 24.3, Thunderbird before 24.3, SeaMonkey before 2.24, and other products, does not properly restrict public values in Diffie-Hellman key exchanges, which makes it easier for remote attackers to bypass cryptographic protection mechanisms in ticket handling by leveraging use of a certain value.",,,,,,,,,,,,,,,,,,
"CVE-2014-1493 Multiple unspecified vulnerabilities in the browser engine in Mozilla Firefox before 28.0, Firefox ESR 24.x before 24.4, Thunderbird before 24.4, and SeaMonkey before 2.25 allow remote attackers to cause a denial of service (memory corruption and application crash) or possibly execute arbitrary code via unknown vectors.",,,,,,,,,,,,,,,,,,
"CVE-2014-1495 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1497 The mozilla::WaveReader::DecodeAudioData function in Mozilla Firefox before 28.0, Firefox ESR 24.x before 24.4, Thunderbird before 24.4, and SeaMonkey before 2.25 allows remote attackers to obtain sensitive information from process heap memory, cause a denial of service (out-of-bounds read and application crash), or possibly have unspecified other impact via a crafted WAV file.",,,,,,,,,,,,,,,,,,
CVE-2014-1499 Mozilla Firefox before 28.0 and SeaMonkey before 2.25 allow remote attackers to spoof the domain name in the WebRTC (1) camera or (2) microphone permission prompt by triggering navigation at a certain time during generation of this prompt.,,,,,,,,,,,,,,,,,,
"CVE-2014-1501 Mozilla Firefox before 28.0 on Android allows remote attackers to bypass the Same Origin Policy and access arbitrary file: URLs via vectors involving the ""Open Link in New Tab"" menu selection.",,,,,,,,,,,,,,,,,,
"CVE-2014-1503 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1505 The SVG filter implementation in Mozilla Firefox before 28.0, Firefox ESR 24.x before 24.4, Thunderbird before 24.4, and SeaMonkey before 2.25 allows remote attackers to obtain sensitive displacement-correlation information, and possibly bypass the Same Origin Policy and read text from a different domain, via a timing attack involving feDisplacementMap elements, a related issue to CVE-2013-1693.",,,,,,,,,,,,,,,,,,
"CVE-2014-1507 Directory traversal vulnerability in the DeviceStorage API in Mozilla FirefoxOS before 1.2.2 allows attackers to bypass the media sandbox protection mechanism, and read or modify arbitrary files, via a crafted application that uses a relative pathname for a DeviceStorageFile object.",,,,,,,,,,,,,,,,,,
"CVE-2014-1509 Buffer overflow in the _cairo_truetype_index_to_ucs4 function in cairo, as used in Mozilla Firefox before 28.0, Firefox ESR 24.x before 24.4, Thunderbird before 24.4, and SeaMonkey before 2.25, allows remote attackers to execute arbitrary code via a crafted extension that renders fonts in a PDF document.",,,,,,,,,,,,,,,,,,
"CVE-2014-1511 Mozilla Firefox before 28.0, Firefox ESR 24.x before 24.4, Thunderbird before 24.4, and SeaMonkey before 2.25 allow remote attackers to bypass the popup blocker via unspecified vectors.",,,,,,,,,,,,,,,,,,
"CVE-2014-1513 TypedArrayObject.cpp in Mozilla Firefox before 28.0, Firefox ESR 24.x before 24.4, Thunderbird before 24.4, and SeaMonkey before 2.25 does not prevent a zero-length transition during use of an ArrayBuffer object, which allows remote attackers to execute arbitrary code or cause a denial of service (heap-based out-of-bounds write or read) via a crafted web site.",,,,,,,,,,,,,,,,,,
"CVE-2014-1515 Mozilla Firefox before 28.0.1 on Android processes a file: URL by copying a local file onto the SD card, which allows attackers to obtain sensitive information from the Firefox profile directory via a crafted application.",,,,,,,,,,,,,,,,,,
"CVE-2014-1517 The login form in Bugzilla 2.x, 3.x, 4.x before 4.4.3, and 4.5.x before 4.5.3 does not properly handle a correctly authenticated but unintended login attempt, which makes it easier for remote authenticated users to obtain sensitive information by arranging for a victim to login to the attacker's account and then submit a vulnerability report, related to a ""login CSRF"" issue.",,,,,,,,,,,,,,,,,,
CVE-2014-1519 Multiple unspecified vulnerabilities in the browser engine in Mozilla Firefox before 29.0 and SeaMonkey before 2.26 allow remote attackers to cause a denial of service (memory corruption and application crash) or possibly execute arbitrary code via unknown vectors.,,,,,,,,,,,,,,,,,,
"CVE-2014-1521 ** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem.  When the candidate has been publicized, the details for this candidate will be provided.",,,,,,,,,,,,,,,,,,
"CVE-2014-1523 Heap-based buffer overflow in the read_u32 function in Mozilla Firefox before 29.0, Firefox ESR 24.x before 24.5, Thunderbird before 24.5, and SeaMonkey before 2.26 allows remote attackers to cause a denial of service (out-of-bounds read and application crash) via a crafted JPEG image.",remote attackers,CVE-2014-1523,read_u32 function,,denial of service (out-of-bounds read and application crash) via a crafted JPEG image.,Mozilla Firefox;Firefox ESR;Thunderbird,,Heap-based buffer overflow,,before 29.0;24.x before 24.5;before 24.5;before 2.26,,,,,,,CVE-2014-1523,Heap-based buffer overflow
"CVE-2014-1525 The mozilla::dom::TextTrack::AddCue function in Mozilla Firefox before 29.0 and SeaMonkey before 2.26 does not properly perform garbage collection for Text Track Manager variables, which allows remote attackers to execute arbitrary code or cause a denial of service (use-after-free and heap memory corruption) via a crafted VIDEO element in an HTML document.",remote attackers,CVE-2014-1525,,,execute arbitrary code or cause a denial of service (use-after-free and heap memory corruption) via a crafted VIDEO element in an HTML document.,Mozilla Firefox;SeaMonkey,,mozilla::dom::TextTrack::AddCue function,does not properly perform garbage collection for Text Track Manager variables,before 29.0;before 2.26,,,,,,,CVE-2014-1525,mozilla::dom::TextTrack::AddCue function
CVE-2014-1527 Mozilla Firefox before 29.0 on Android allows remote attackers to spoof the address bar via crafted JavaScript code that uses DOM events to prevent the reemergence of the actual address bar after scrolling has taken it off of the screen.,remote attackers,CVE-2014-1527,,,spoof the address bar via crafted JavaScript code that uses DOM events to prevent the reemergence of the actual address bar after scrolling has taken it off of the screen.,Mozilla Firefox,Android,,,before 29.0,,,,,,,CVE-2014-1527,
"CVE-2014-1529 The Web Notification API in Mozilla Firefox before 29.0, Firefox ESR 24.x before 24.5, Thunderbird before 24.5, and SeaMonkey before 2.26 allows remote attackers to bypass intended source-component restrictions and execute arbitrary JavaScript code in a privileged context via a crafted web page for which Notification.permission is granted.",remote attackers,CVE-2014-1529,,,remote attackers to bypass intended source-component restrictions and execute arbitrary JavaScript code in a privileged context via a crafted web page for which Notification.permission is granted.,Mozilla Firefox;Firefox ESR;Thunderbird;SeaMonkey,The Web Notification API,,,before 29.0;24.x before 24.5;before 24.5;before 2.26,,,,,,,CVE-2014-1529,
"CVE-2014-1531 Use-after-free vulnerability in the nsGenericHTMLElement::GetWidthHeightForImage function in Mozilla Firefox before 29.0, Firefox ESR 24.x before 24.5, Thunderbird before 24.5, and SeaMonkey before 2.26 allows remote attackers to execute arbitrary code or cause a denial of service (heap memory corruption) via vectors involving an imgLoader object that is not properly handled during an image-resize operation.",remote attackers,CVE-2014-1531,nsGenericHTMLElement::GetWidthHeightForImage function,,execute arbitrary code or cause a denial of service (heap memory corruption) via vectors involving an imgLoader object that is not properly handled during an image-resize operation.,Mozilla Firefox;Firefox ESR;Thunderbird;SeaMonkey,,Use-after-free vulnerability,,before 31.0;24.x before 24.7;before 24.7;before 2.26,,,,,,,CVE-2014-1531,Use-after-free vulnerability
